Q1A,Q1I,Q1E,Q2A,Q2I,Q2E,Q3A,Q3I,Q3E,Q4A,Q4I,Q4E,Q5A,Q5I,Q5E,Q6A,Q6I,Q6E,Q7A,Q7I,Q7E,Q8A,Q8I,Q8E,Q9A,Q9I,Q9E,Q10A,Q10I,Q10E,Q11A,Q11I,Q11E,Q12A,Q12I,Q12E,Q13A,Q13I,Q13E,Q14A,Q14I,Q14E,Q15A,Q15I,Q15E,Q16A,Q16I,Q16E,Q17A,Q17I,Q17E,Q18A,Q18I,Q18E,Q19A,Q19I,Q19E,Q20A,Q20I,Q20E,Q21A,Q21I,Q21E,Q22A,Q22I,Q22E,Q23A,Q23I,Q23E,Q24A,Q24I,Q24E,Q25A,Q25I,Q25E,Q26A,Q26I,Q26E,Q27A,Q27I,Q27E,Q28A,Q28I,Q28E,Q29A,Q29I,Q29E,Q30A,Q30I,Q30E,Q31A,Q31I,Q31E,Q32A,Q32I,Q32E,Q33A,Q33I,Q33E,Q34A,Q34I,Q34E,Q35A,Q35I,Q35E,Q36A,Q36I,Q36E,Q37A,Q37I,Q37E,Q38A,Q38I,Q38E,Q39A,Q39I,Q39E,Q40A,Q40I,Q40E,Q41A,Q41I,Q41E,Q42A,Q42I,Q42E,country,source,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,screensize,uniquenetworklocation,hand,religion,orientation,race,voted,married,familysize,major,variance,depression_score,anxiety_score,stress_score,depression_outcome,anxiety_outcome,stress_outcome,depression_target,anxiety_target,stress_target
3,22,4727,3,33,6030,2,24,3866,2,3,16159,1,15,3093,3,18,3402,1,13,5820,3,4,5142,2,41,8270,3,17,9811,3,12,3802,1,6,5681,3,20,5678,3,39,10398,1,29,2569,1,2,25947,3,31,5501,1,30,4803,0,35,10006,1,26,2678,3,8,7382,3,32,4267,1,1,13514,3,10,7514,1,25,16424,3,37,3399,2,28,4373,2,19,3878,3,38,6777,3,40,4525,1,11,4515,3,14,6309,2,5,4349,3,23,4183,1,16,8982,2,9,3759,2,42,9254,3,21,4781,2,34,2586,2,36,10851,2,27,6637,1,7,10298,MY,1,9,293,215,4,4,5,7,6,5,6,4,2,7,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,2,2,27,1,1,1,10,1,10,1,1,8,Landscape design,0.8199767711962832,32,23,33,4,4,3,1,1,1
0,23,3000,1,32,5429,0,11,3566,0,36,3501,0,5,4015,0,4,3382,0,39,1669,0,42,2665,1,28,6249,0,14,3286,1,16,8647,0,21,2758,0,20,2832,1,13,6381,0,29,5683,1,24,6964,1,37,6331,0,38,5280,1,35,7073,0,30,3130,0,18,3646,0,19,3534,0,12,2183,0,17,12680,0,31,6904,0,40,4748,1,1,15494,0,34,2514,0,3,3865,0,41,5867,0,7,3649,1,6,10547,0,33,2898,1,15,4681,1,9,5243,0,27,1714,0,25,4432,0,26,3733,0,22,3114,1,10,5646,0,2,7683,1,8,4616,MY,2,6,213,209,5,5,6,4,6,7,6,3,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,1,2,1,20,2,1,2,4,1,10,2,1,1,tourism,0.21893147502903618,4,4,5,0,0,0,0,0,0
2,37,3209,2,30,7347,1,33,31466,0,26,3043,1,3,6212,2,9,2541,2,13,2833,1,42,2323,2,39,6377,0,28,2370,2,8,3998,2,20,1144,1,16,2565,2,18,6124,0,36,1990,2,10,3035,0,19,2169,1,25,2575,2,7,5087,3,11,2501,0,2,5761,0,32,3173,0,5,3016,2,12,3214,1,40,3835,0,29,1905,3,14,3017,1,41,2465,1,38,2772,2,1,19322,1,34,4612,3,6,4501,2,21,2327,0,23,2337,0,24,4385,0,27,1780,0,15,2448,0,31,1799,0,35,1818,3,17,3121,1,22,2589,3,4,3138,MY,2,8,188,226,6,5,2,5,3,7,4,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,20,1,2,1,10,1,10,2,1,5,Information technology,1.0993031358885013,11,19,21,1,3,2,0,1,0
3,31,5509,3,5,2585,2,27,3317,1,3,6773,3,11,2727,3,23,2294,2,20,6431,2,19,3860,3,35,5614,3,26,2673,3,9,3498,1,6,6950,3,13,3899,3,21,5979,1,39,6331,1,33,3814,3,28,2526,3,24,5358,3,30,6210,3,4,3414,1,36,3070,2,16,6122,2,7,4552,3,29,3558,2,42,7619,3,8,4889,3,10,2741,1,17,4101,2,12,4891,1,1,20117,1,34,5212,3,41,3868,1,15,3286,3,38,2464,3,2,13793,3,32,1710,1,18,6863,1,37,2201,3,25,5609,3,40,5698,3,22,3125,3,14,4522,MY,1,6,217,196,6,7,5,7,6,4,7,3,4,4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,17,1,1,2,10,1,10,2,1,4,,0.7555168408826949,31,31,35,4,4,4,1,1,1
0,34,3400,1,7,4207,1,6,3847,1,2,18321,1,40,3564,0,11,3637,0,21,2744,1,28,2544,1,23,5468,0,29,2306,0,27,2047,0,15,3117,1,39,2257,0,32,6321,0,10,2291,0,14,4562,1,17,3322,1,18,2394,0,37,6305,0,22,2555,0,26,2473,0,12,3761,0,25,2270,0,13,7095,0,38,18931,1,41,2299,1,19,1909,1,31,2392,1,36,4911,2,4,11531,1,3,8906,1,24,3267,0,20,3332,0,35,2523,0,33,4469,3,5,6214,0,9,4153,0,42,2192,0,16,1991,1,30,4018,1,1,13549,1,8,4020,MY,0,6,206,145,4,4,6,5,6,5,6,5,5,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1,2,1,19,1,1,1,10,4,10,2,1,6,Accounting,0.448896631823461,7,11,5,0,2,0,0,0,0
3,28,2656,3,1,9439,1,4,3216,3,41,4433,1,5,3341,0,8,2881,2,6,2923,3,10,3748,3,29,4929,1,30,3839,3,11,2469,3,13,3311,3,12,2218,3,18,5903,3,37,2400,3,23,2731,3,27,2304,1,36,5013,3,38,4659,0,32,2658,3,21,4045,3,14,2156,0,33,2637,0,34,3832,3,25,3989,1,19,3058,1,20,3094,3,24,3015,1,16,4047,3,39,4299,2,3,5588,2,40,3692,0,35,2417,1,2,9342,3,22,3215,2,17,1707,3,42,3300,3,26,1919,1,31,2557,0,7,5286,3,15,2197,3,9,5745,MY,1,4,157,192,5,5,1,7,2,6,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,2,20,1,1,1,10,2,10,2,1,4,Electrical engineering ,1.3635307781649242,28,31,27,4,4,3,1,1,1
2,8,5262,2,20,2728,1,11,2804,2,10,4281,1,42,2367,1,21,2951,2,26,2450,3,30,2200,3,5,5312,1,12,5702,2,35,2189,3,37,2158,3,36,2050,1,24,4690,1,6,3227,1,2,10368,1,22,1931,2,13,4172,1,15,6406,3,9,2476,1,17,2476,1,23,2261,1,25,2877,1,29,3783,1,1,9887,2,40,799,3,33,2161,3,31,2319,1,7,3417,1,18,5640,1,16,3982,1,34,3379,3,32,1750,1,19,2629,1,27,3704,3,38,1704,1,39,6707,1,14,5134,2,28,2297,1,3,7718,2,41,2586,1,4,4000,MY,2,4,164,123,3,3,5,6,4,5,2,3,1,4,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,19,1,2,1,10,1,10,2,1,2,Islamic Finance,0.6742160278745641,17,26,26,2,4,3,0,1,1
1,18,4142,0,42,2377,3,39,2253,0,29,3044,3,15,3105,2,22,2951,2,13,5014,1,32,5188,1,9,5920,3,23,2723,3,36,2675,1,28,2908,3,30,2252,1,8,8046,1,19,4695,3,37,3263,3,24,2125,3,25,2582,0,20,6477,3,26,4223,3,35,1713,2,7,4384,0,5,4170,2,2,16990,1,3,17778,3,4,3160,3,40,2837,0,12,4578,1,21,3251,1,33,4138,3,17,3778,1,38,2713,2,14,3501,3,6,2148,1,16,4295,3,27,1350,3,11,2651,3,34,1735,3,10,2398,1,41,4949,0,1,3924,3,31,4161,MY,0,43,194,235,2,5,5,6,2,7,7,4,2,3,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,1,2,2,25,1,2,1,10,1,10,2,1,3,Environmental engineering ,1.3269454123112656,41,13,25,4,2,2,1,0,0
0,34,1995,0,37,2874,0,24,3654,0,20,2338,0,33,4725,0,17,2131,1,21,2642,0,41,2145,1,38,11130,1,9,5062,1,2,344471,0,36,4367,1,7,1805,1,26,24022,1,32,3631,1,23,3620,1,5,6845,1,25,3865,0,42,3737,1,6,2770,0,29,15553,0,28,2776,0,10,6443,0,12,4585,0,15,8873,0,14,3754,0,18,2099,0,13,2397,1,1,23295,1,40,2818,0,27,5918,0,16,3204,1,22,2584,0,8,2313,0,19,1810,1,31,5106,1,39,8080,1,11,5718,0,4,2841,1,35,5661,0,3,4952,0,30,10486,MY,0,4,571,245,4,2,5,4,5,2,5,3,5,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,3,3,2,2,20,1,1,1,6,2,10,2,1,8,Education in Arts,0.25087108013937304,6,7,5,0,0,0,0,0,0
1,10,4669,1,19,4586,1,24,8267,0,7,5311,1,40,4724,1,30,7160,1,31,8718,2,5,7679,1,9,6642,1,28,8413,1,41,3551,1,38,6930,0,29,1896,0,3,15844,0,14,3881,1,11,5369,1,36,6037,1,1,21370,0,20,12066,1,2,14420,1,27,5092,1,17,4196,0,42,8678,1,32,5769,1,21,12855,1,35,3947,1,33,5309,0,37,4764,1,4,8084,1,34,7163,1,39,7553,0,26,8434,2,6,6869,1,16,5156,1,15,16477,1,25,3626,1,12,9989,1,22,3724,1,18,5053,0,23,5932,0,8,7837,1,13,7523,MY,2,19,313,218,6,4,5,4,6,4,4,4,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,2,2,22,1,2,1,10,3,10,2,1,8,Science,0.2555168408826946,13,7,14,1,0,0,0,0,0
1,15,2097,0,16,2093,1,30,3214,0,36,844,1,40,6044,1,10,3089,0,41,684,1,20,21537,1,33,5329,0,8,34462,1,9,3131,1,22,3249,1,24,2812,0,19,5147,3,39,4018,1,35,37380,1,37,32265,3,34,12321,0,38,5374,1,25,720,1,17,72246,1,2,4384,0,1,37986,1,5,10786,0,12,116925,2,3,5356,1,18,3663,1,21,26213,1,26,2768,1,6,6744,2,28,3562,1,23,5681,1,42,2303,1,27,2085,1,32,3781,1,13,2651,0,4,5773,0,29,831,1,31,39197,1,11,6836,0,14,7244,1,7,59214,MY,0,19,640,204,5,6,5,6,6,5,7,5,5,5,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,4,3,2,2,24,1,2,1,10,2,10,2,1,6,English,0.4976771196283393,13,9,15,1,1,1,0,0,0
2,2,3928,1,42,3309,1,8,1035,1,27,3993,1,24,1509,1,18,1939,0,11,2913,1,25,660,1,5,8241,1,23,3368,1,22,2147,1,6,3548,1,12,2831,1,28,3345,0,10,2857,1,34,2244,1,29,2430,1,38,2440,0,19,2327,1,21,1924,1,32,1418,1,9,3498,1,33,3322,2,7,2501,0,16,3420,1,4,5269,1,3,3635,1,20,2077,1,41,1925,1,37,423702,1,31,2715,1,14,2548,1,35,1834,1,40,1206,1,36,3902,1,39,1349,1,15,2204,1,17,2111,1,13,2413,1,30,2644,0,26,2590,2,1,4503,MY,0,19,563,165,5,4,2,6,5,6,6,6,3,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,20,1,1,2,10,2,70,2,1,4,Early Childhood Education,0.19279907084785142,16,9,15,2,1,1,0,0,0
1,3,5382,1,8,6233,1,11,3134,0,14,5349,1,42,3917,3,7,2768,3,27,3234,1,31,2332,2,29,6014,2,6,5416,2,23,4200,1,18,3399,3,24,3719,3,37,5616,1,20,3566,3,19,4333,2,22,4449,3,12,3366,1,21,6149,2,2,13248,1,40,2264,1,30,1800,1,32,2336,1,35,2801,2,36,6214,1,34,1782,1,15,2233,1,33,2016,1,5,3138,1,28,6934,1,10,2916,2,4,7428,1,39,3619,1,9,9899,1,1,18584,1,16,2100,1,38,2949,0,17,3266,1,26,2583,2,41,1932,1,25,3214,1,13,2984,MY,2,24,30850,11,5,5,6,6,6,7,7,6,3,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,18,1,1,1,10,1,10,2,1,5,chemical engineering,0.6411149825783976,19,19,22,2,3,2,0,1,0
3,9,3153,0,15,2372,2,39,3145,1,13,3207,0,16,2709,3,28,3812,0,17,2773,1,6,4088,1,11,6746,0,2,16160,2,34,3870,1,38,3306,1,19,4400,2,5,8597,0,35,2198,1,36,3069,3,23,3794,1,30,3141,0,33,4542,2,21,4740,2,40,1950,1,41,1915,1,22,2515,1,20,4396,1,37,4898,1,14,2720,0,31,2212,1,4,7832,2,26,2894,0,10,3655,1,7,2890,1,25,2003,1,42,2537,2,32,2482,1,8,6335,3,3,20847,0,18,6295,1,12,3630,1,1,51709,3,27,3753,1,29,2547,1,24,4649,MY,0,5,235,168,4,4,5,5,4,5,7,3,3,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,2,19,1,1,1,10,1,10,2,1,4,FASHION,0.8408826945412309,16,14,20,2,2,2,0,0,0
1,36,5722,2,19,6943,1,35,2938,1,39,6277,1,32,1823,2,41,6250,1,34,2769,1,22,3151,2,4,6156,1,27,2511,1,20,2619,1,15,3047,1,16,2067,1,18,6377,1,37,2593,1,7,3253,1,10,3097,1,40,2406,1,25,4032,1,12,4797,1,3,6596,1,14,2631,1,8,5695,0,5,6677,1,42,9257,1,28,2666,1,31,4186,1,23,2651,1,1,19342,1,38,3224,1,24,3319,1,26,2698,1,17,7417,1,33,4813,1,13,28812,1,21,2430,1,6,7847,1,2,11183,1,9,4586,1,30,3911,1,11,4570,1,29,2457,MY,2,3,227,340,5,5,6,5,6,5,7,6,6,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,2,2,18,1,1,1,7,1,10,2,1,1,Education ,0.09523809523809518,13,16,15,1,3,1,0,1,0
2,18,3957,0,35,1776,1,29,2726,0,26,1968,3,17,2834,1,41,1120,1,11,3324,1,38,1255,3,9,2659,3,12,1768,3,22,1662,2,42,2383,2,15,1974,1,30,2603,1,33,1581,3,6,2417,2,34,14554,0,40,1668,0,36,1572,3,4,2233,3,10,1692,1,37,1744,0,28,1709,2,39,2179,1,16,7561,3,21,1248,2,24,1961,1,2,24649,2,3,5608,2,1,5264,3,31,3171,1,14,2692,2,25,1554,3,20,1385,2,13,1689,2,5,1356,2,7,4618,3,8,1381,1,32,1317,1,27,3305,1,23,2490,2,19,2931,MY,0,12,144,167,2,5,6,6,7,7,6,4,5,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,2,2,19,1,2,1,10,1,10,2,1,4,Fisheries,0.9895470383275262,35,16,21,4,3,2,1,1,0
3,33,3176,1,9,9234,3,11,4775,1,4,14698,3,14,4150,3,39,3066,3,17,3392,3,18,2594,3,36,6306,3,24,2962,3,25,3518,3,42,4329,3,37,2057,3,5,8118,3,23,23543,3,31,3765,3,29,3160,3,35,16631,1,1,17396,3,15,3545,3,28,2835,3,21,16154,1,8,20812,3,7,5877,3,26,7352,3,40,1816,3,3,14357,3,13,3011,3,2,3355,3,32,5165,3,27,3900,3,34,888,3,22,3358,3,6,28002,1,38,39169,3,20,2036,3,19,2856,3,16,3756,3,30,17097,3,41,8161,2,10,22033,3,12,3759,NONE,0,201,358,576,1,7,7,7,1,2,4,7,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,2,18,1,1,1,10,1,20,2,1,1,Psychology,0.44192799070847866,42,33,40,4,4,4,1,1,1
1,3,12079,1,42,4585,0,11,2433,0,7,4514,0,35,6866,1,21,2878,2,38,3072,0,12,2059,2,34,12278,0,5,3607,1,2,8188,0,40,3021,0,29,1858,2,1,27589,0,15,2541,0,17,8291,0,31,1990,1,32,8742,2,28,7840,0,25,8875,0,24,5361,0,6,7541,0,23,2422,1,22,4686,1,41,6684,0,27,2166,1,26,7023,0,8,2971,0,19,7336,1,30,6006,0,37,3648,0,39,8042,1,4,8139,0,20,3490,1,9,8122,1,36,1831,0,16,3652,0,13,2615,1,33,3508,1,10,7516,1,14,3510,1,18,4963,MY,1,49,246,258,7,6,4,5,6,2,5,6,4,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,2,2,2,19,1,1,2,10,1,10,2,1,7,Business,0.4459930313588854,2,12,10,0,2,0,0,0,0
0,8,17750,1,4,4741,0,41,4143,0,23,15326,1,35,13319,2,18,7573,2,40,5097,2,42,6152,1,33,12594,0,11,4694,0,31,4875,2,28,1653,1,17,3241,1,10,6029,0,27,8101,1,36,8821,0,21,4442,1,9,3955,0,24,9849,1,14,1613,0,6,3924,2,2,16811,0,38,3627,2,34,8704,1,5,39490,0,12,4671,1,16,3217,0,15,3795,2,1,23913,1,20,11605,0,7,8064,1,3,6181,0,22,4810,0,32,3816,1,13,12648,1,19,12686,0,37,9167,0,30,3064,0,26,5903,0,25,16144,0,39,1421,1,29,11794,MY,0,9,430,386,5,2,6,1,5,6,6,1,7,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,3,2,2,20,2,1,1,10,5,10,2,1,6,Electrical engineering,0.5603948896631826,6,8,15,0,1,1,0,0,0
1,13,2775,1,35,4049,1,9,5970,0,34,4291,0,18,4366,1,20,3456,0,15,10337,1,2,2567,2,26,4099,1,21,6645,1,27,4373,1,29,10161,2,25,2460,0,23,7854,0,31,2884,2,39,3418,2,6,4005,1,10,5214,0,41,7965,1,17,4145,2,36,1981,2,7,4128,1,42,4143,1,33,4108,1,38,4520,1,5,7910,0,28,2926,0,16,19592,2,3,6754,1,4,6868,1,22,3352,1,8,7442,0,30,3579,1,37,4712,1,1,102100,1,14,1715,1,11,7420,1,19,3864,1,24,5735,1,40,5838,0,12,3949,0,32,55395,MY,2,14,390,818,5,2,4,6,7,4,4,2,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,2,1,22,1,1,1,10,1,10,0,1,5,biomedical engineering,0.42973286875725897,16,9,13,2,1,0,0,0,0
2,13,3024,0,25,4597,0,22,5782,0,26,2250,0,20,3043,2,9,2064,0,23,3442,1,27,4586,2,12,7161,1,36,3050,2,3,4678,0,31,3821,2,8,2975,1,34,9466,0,28,2807,1,41,2350,2,29,2125,1,35,1955,0,5,8765,0,14,5190,0,32,6849,0,37,1953,0,30,2127,0,42,15843,0,39,8580,0,24,3172,2,19,2607,0,6,11523,1,18,2409,1,16,5905,0,38,3677,2,17,7218,1,1,18173,2,15,2306,1,11,4975,2,4,3673,1,40,3354,2,2,11194,1,10,3363,1,21,7947,0,33,1763,3,7,34594,MY,1,23,248,186,5,6,2,6,3,4,7,4,3,4,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,3,3,2,2,25,1,1,1,10,4,10,2,1,3,Biochemistry ,0.7903600464576076,14,6,17,2,0,1,0,0,0
3,39,26119,0,38,2365,1,1,19269,3,10,4165,3,8,10571,3,15,2725,3,22,5402,3,16,6123,2,2,12621,2,32,12726,3,40,2645,1,26,4046,1,5,26103,0,9,6085,0,33,3698,2,19,7100,3,28,2497,1,27,41350,1,24,34842,1,7,3709,3,17,6364,0,37,8342,0,20,3033,0,25,6698,1,41,7209,2,35,53596,3,12,2694,2,42,8804,3,13,3729,1,36,8201,1,31,6267,1,30,9926,1,23,7456,3,4,1785,1,29,8534,3,14,1651,2,21,33307,1,11,10784,1,6,13241,3,3,6603,3,34,2527,2,18,9594,MY,0,8,614,190,1,1,6,7,2,1,7,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,21,1,1,1,10,2,10,2,1,3,law,1.2224157955865267,26,23,24,3,4,2,1,1,0
1,20,3758,3,13,2809,3,14,4336,3,17,3271,0,25,4281,3,1,10814,0,10,3901,0,32,2313,1,28,9863,0,5,6826,3,18,2715,0,8,3623,3,36,2417,0,27,4635,1,30,3438,1,29,6375,3,11,2394,3,34,1917,0,12,4322,0,23,3678,3,2,7941,1,39,3073,0,40,1824,1,38,4031,1,19,10803,1,3,7964,3,16,3186,0,37,3963,3,15,4282,0,9,8846,1,4,8461,0,24,5058,0,41,3180,3,33,1921,0,22,4273,1,21,3007,1,31,5685,3,6,3151,1,42,2167,1,35,4438,0,7,2165,1,26,5646,MY,0,10,194,165,7,4,7,1,7,4,5,1,4,3,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,3,2,2,2,19,1,2,1,10,4,10,2,1,3,Law,1.5638792102206733,24,11,18,3,2,1,1,0,0
0,27,5853,2,2,10053,0,23,2326,1,4,4719,1,38,1601,0,40,6605,2,31,3943,0,14,4835,1,39,1720,0,28,2980,1,24,7151,0,35,4520,0,19,942,0,16,8220,2,3,6160,0,41,6353,0,25,3482,2,18,3804,0,21,3398,2,9,6440,3,42,5039,1,34,2036,1,13,4633,1,30,6405,1,36,8930,1,37,1736,0,5,3097,0,6,4185,0,20,5932,1,22,6768,1,8,4666,1,12,7489,2,32,2671,0,15,1838,1,1,14932,0,26,1343,2,7,6004,0,11,2801,1,17,3905,1,29,3494,1,33,4089,1,10,1539,MY,0,5,210,213,5,4,6,6,6,7,6,3,7,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,2,23,1,1,1,10,1,10,2,1,7,Banking,0.6457607433217186,10,15,9,1,3,0,0,1,0
0,33,3073,1,23,4293,0,25,2650,0,34,1596,0,37,1914,3,14,5159,0,29,1813,0,8,2418,1,9,10335,0,21,2479,1,39,3521,1,4,6999,0,12,1994,0,32,4669,0,10,1929,0,40,2237,0,13,2947,1,19,3869,0,41,2946,0,30,4944,0,26,1568,0,15,2064,0,1,5194,0,38,1730,1,18,5726,1,20,2313,0,42,1665,1,7,2219,1,2,7769,2,24,5793,0,28,2139,0,36,3387,0,22,1556,0,17,1789,0,27,3095,1,3,1805,0,35,3371,0,16,1714,1,5,4127,1,6,7914,0,11,1858,0,31,2872,MY,1,4,159,217,6,7,6,1,7,4,7,5,7,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,2,2,20,1,2,1,10,1,70,2,1,3,,0.4419279907084782,1,8,8,0,1,0,0,0,0
1,20,3918,0,4,2606,0,30,13806,0,41,1833,1,24,2303,1,10,2132,0,19,2752,0,37,1715,2,18,9588,0,29,2678,1,33,2721,0,31,2184,1,3,2125,3,11,4587,0,5,2479,1,21,1151,1,17,12369,2,2,4223,2,38,483,0,13,3518,1,1,2306,1,7,5151,0,32,3682,0,12,3133,0,22,632,1,26,2496,3,40,2518,0,25,1289,0,9,4773,0,23,2085,1,35,2635,1,16,2887,1,14,2471,1,6,2188,2,15,3380,0,27,1896,1,34,9436,2,28,2338,1,8,2633,0,39,2201,0,36,1782,1,42,3069,MY,0,5,203,265,7,5,6,5,6,3,5,6,4,5,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,3,3,2,2,21,1,2,1,10,1,10,2,1,8,IO Psychology ,0.7090592334494777,12,4,17,1,0,1,0,0,0
3,21,2974,3,23,3572,0,42,4000,1,14,25514,0,36,3551,1,4,5341,0,13,3820,1,30,8428,3,22,23405,3,6,9864,3,3,12944,3,27,6956,3,19,2308,0,18,11178,2,41,2438,1,24,6521,0,2,18118,0,35,3300,0,38,5687,1,34,2692,1,7,4045,1,31,2342,1,39,2877,0,11,4354,0,32,13148,2,17,2990,0,28,2795,0,26,3100,3,37,4386,0,16,6891,1,9,7786,2,10,7248,1,40,2698,0,29,2380,0,5,18319,3,1,34075,1,25,3463,2,8,4985,1,12,4506,2,20,6703,0,33,2663,1,15,7739,MY,1,18,313,228,1,3,7,7,4,6,6,3,4,6,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,3,2,2,2,21,1,2,1,10,0,10,2,1,5,Computer,1.328687572590011,15,16,19,2,3,2,0,1,0
2,34,2616,2,42,3609,1,39,2589,1,18,2584,2,31,1629,2,9,4520,1,10,4069,2,24,25110,2,2,9471,2,3,1694,2,26,1571,2,14,2518,2,29,1159,2,6,3294,2,22,3043,2,15,1683,3,17,4073,2,21,2245,2,38,6805,1,12,5607,0,13,3244,1,37,2731,1,36,6611,2,5,2944,2,20,3027,3,8,1959,2,1,6637,1,11,4150,2,16,3320,2,35,5919,2,33,2945,2,40,4588,2,23,2355,2,32,1193,2,7,2213,2,28,1377,1,41,4527,1,27,5166,1,19,2702,2,4,5902,2,25,1753,2,30,3326,MY,0,3,180,252,4,2,7,4,6,6,7,1,4,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,2,20,1,2,3,10,1,10,2,1,3,biology,0.3321718931475026,25,23,26,3,4,3,1,1,1
1,36,6359,2,42,3530,1,38,3307,1,17,4956,2,27,6927,1,16,4355,0,2,9576,1,1,11400,3,5,14542,1,32,9295,0,24,3442,1,8,7949,2,18,3585,0,41,16574,0,19,2621,0,37,15174,2,15,3608,2,29,3283,1,22,10015,1,12,4398,2,13,3166,0,25,4480,0,40,2512,0,39,20467,0,20,8047,2,35,2518,2,28,4487,2,30,2512,1,21,6214,0,3,11496,0,9,4883,0,10,16146,1,33,2420,2,34,2781,0,4,30464,2,31,1498,0,26,15453,2,7,3902,1,6,10971,1,11,3717,1,23,4933,1,14,6415,MY,0,3,316,190,3,4,3,3,5,4,3,5,5,5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,2,2,21,1,1,1,10,1,10,2,1,5,Engineering,0.7317073170731707,17,14,11,2,2,0,0,0,0
1,34,3910,0,31,1640,0,11,3173,0,22,3045,0,41,1434,0,28,1681,0,3,3803,0,8,2063,1,9,12156,0,33,2201,1,4,3147,0,26,3151,0,2,14343,1,36,9084,0,20,1563,0,29,4297,0,35,1707,0,27,3769,0,25,4257,0,14,95098,0,23,1768,0,39,2535,0,5,2243,0,18,2113,0,32,3744,0,21,1749,0,17,1621,0,15,4066,0,1,17375,0,6,5991,0,16,5688,0,24,3573,0,38,1508,0,10,2873,0,42,2667,0,37,1734,0,30,3729,0,40,1692,0,7,2486,0,19,2155,0,13,2064,0,12,2589,MY,1,9,253,182,5,1,5,2,2,1,5,5,6,2,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,3,3,2,2,21,1,1,1,10,1,10,2,1,6,Medicine,0.08826945412311277,0,1,3,0,0,0,0,0,0
1,23,3808,0,27,3276,1,14,5665,3,35,4714,3,8,3321,3,13,2004,3,37,2580,2,6,3768,3,28,12948,0,21,3179,3,11,3453,3,18,3176,3,9,1682,1,15,9496,3,7,3723,1,26,5210,1,17,3309,3,42,2773,1,1,64303,0,29,2813,1,40,3176,1,39,2368,2,16,5502,1,20,6834,3,10,9891,3,41,2600,2,33,5853,3,12,1940,1,25,9214,3,3,7516,1,2,9514,1,24,4487,3,4,3273,3,5,2403,1,38,6509,1,19,2221,0,22,4706,1,36,4208,1,30,3611,2,32,6001,1,34,5332,1,31,10733,MY,2,35,265,154,6,6,6,7,6,6,7,3,4,6,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,3,2,1,23,1,1,1,10,0,10,2,1,4,Accounting,1.1614401858304302,20,28,26,2,4,3,0,1,1
